건축물명,건축물 위치,층수(지상_지하),조사년도,총발생량(톤),일평균발생량(톤/일),미사용_하수도방류(톤/일)
마포트라팰리스,마포구 마포대로 53 (도화동),31/5,2015,8592.8,46.0,46.0
홍익대학교,마포구 와우산로 94 (상수동),16/6,2015,6237.6,33.0,33.0
교보생명빌딩,마포구 신촌로 134 (노고산동),7/4,2015,3790.4,20.0,20.0
상암이안아파텔2,마포구 월드컵로 204 (성산동),15/3,2015,7948.8,43.0,43.0
상암이안아파텔1,마포구 월드컵로 190 (성산동),15/3,2015,7948.8,43.0,43.0
세방오피스텔,마포구 독막로 100 (상수동),15/4,2015,1490.4,8.0,8.0
서울삼성아파트,마포구 마포대로 262 (아현동),22/2,2015,2060.8,11.0,11.0
태영빌딩,마포구 마포대로 144 (공덕동),18/6,2015,2925.6,15.0,15.0
미래프라자,마포구 양화로 166 (동교동),15/5,2015,1453.2,7.0,0.0
공덕빌딩,마포구 마포대로 119 (공덕동),16/5,2015,73.6,0.0,0.0
한국사회복지회관,마포구 만리재로 14 (공덕동),23/7,2015,1527.2,8.0,0.0
삼성아파트3,마포구 만리재로 60 (신공덕동),22/1,2015,993.6,5.0,5.0
별정우체국연합회,마포구 마포대로 130 (공덕동),18/6,2015,8629.6,46.0,46.0
미래에셋생명,마포구 마포대로 163 (공덕동),18/5,2015,331.2,1.0,1.0
그랜드백화점,마포구 신촌로 94 (노고산동),12/4,2015,478.4,2.0,2.0
새한빌딩,마포구 굴레방로 11-1 (아현동) ,5/2,2015,1803.2,9.0,9.0
마젤란21,마포구 양화로 175 (동교동),18/5,2015,16836.0,91.0,91.0
풍림브아이피텔,마포구 마포대로 127 (공덕동),18/4,2015,4029.6,21.0,21.0
씨에스타워,마포구 월드컵북로 137 (성산동),10/2,2015,2244.8,12.0,12.0
명지빌드웰오피스텔,마포구 양화로 58 (서교동),15/4,2015,1453.6,7.0,7.0
스페이스오피스텔,마포구 서강로 131 (노고산동),15/2,2015,5133.6,27.0,27.0
삼성아파트1,마포구 백범로37길 12 (신공덕동),23/1,2015,993.6,5.0,5.0
마포타워,마포구 마포대로4다길 41 (마포동) ,16/3,2015,7856.8,42.0,42.0
엘지펠리스빌딩,마포구 홍익로6길 57 (동교동) ,18/7,2015,15640.0,85.0,65.0
월드컵참누리아파트,마포구 월드컵북로38길 53 (중동),25/2,2015,13947.2,75.0,75.0
동성아파트,마포구 모래내로3길 4 (성산동),18/2,2015,1803.2,9.0,9.0
고려아카데미텔1,마포구 마포대로 196 (아현동) ,17/4,2015,3588.0,19.0,19.0
삼성아파트2,마포구 만리재로 74 (신공덕동),18/4,2015,6808.0,37.0,17.0
