"건축물명","건축물 위치","층수(지상_지하)","연면적","조사년도","총발생량(톤)","일평균발생량(톤/일)","일평균이용현황(톤/일)_하천방류","일평균이용현황(톤/일)_도로청소","일평균이용현황(톤/일)_공원용수","일평균이용현황(톤/일)_화장실세척","일평균이용현황(톤/일)_건물용수","미사용_하수도방류(톤/일)","일평균이용현황(톤/일)_기타건물용수"
"서진빌딩","삼학사로 42(석촌동 213-4) ","6/2","969.05","2024","385.00","2.12","","","","","0.00","2.12",""
"문정 SKV1GL","법원로 128(문정동 642-3)","17/5","150314","2024","24564.00","134.97","","","","","0.00","134.97",""
"송파레미니스아파트","성내천로 6(오금동 616)","20/2","48504","2024","130.00","0.71","","","","","0.00","0.71",""
"송파아이파크","법원로 55(문정동 624)","16/4","99286","2024","702.00","3.86","","","","","0.00","3.86",""
"위례2차아이파크 아파트 ","위례광장로 230(장지동 884) ","29/3","116553","2024","1118.00","6.14","","","","","0.00","6.14",""
"위례중앙푸르지오2단지 아파트","위례광장로 290(장지동 896 ) ","19/3","37063","2024","14.00","0.08","","","","","0.00","0.08",""
"잠실대명벨리온오피스텔","오금로11길 37(방이동 43) ","17/5","16858","2024","3758.00","20.65","","","","","0.00","20.65",""
"호반베르디움","동남로 342, (지하)","20/2","48124.8788","2024","2866.00","15.75","","","","","0.00","15.75",""
"힐스테이트송파위례아파트","장지동 883 ,힐스테이트, 위례광장로 170","29/3","111137","2024","4505.00","24.75","","","","","0.00","24.75",""
"에이치비지니스파크","법원로11길 25(문정동 645)","15/4","81749","2024","55.00","0.30","","","","","0.00","0.30",""
"타워730","올림픽로35길 141(신천동 7-30), 송파대로 570","27/4","80728","2024","12224.00","67.16","","","0.21","","11.81","55.14",""
"SONGPA FUN STADIUM","올림픽로35가길 16(신천동 7-12)","10/5","50308","2024","3972.00","21.82","","","","","0.00","21.82",""
"삼성SDS","올림픽로35길 125(신천동 7-13)","30/7","99536","2024","160.00","0.88","","","","","0.00","0.88",""
"롯데물산㈜, 잠실제2롯데월드","올림픽로 300(신천동 29)","123(1,10,12,12)/6(5,6,6,6)","805872.45","2024","44579.00","244.94","","","25.27","168.25","126.10","-74.68","석촌호수"
"기업은행","노해로 489","10/3","5292","2024","1821.50","10.01","","","","","0.00","10.01",""
"서울복합물류프로젝트금융투자(주)","장지동 674","11/5","426719","2024","97569.00","536.09","","","20.00","","30.00","486.09",""
"노빌리안골드","노해로 452","14/4","7462","2024","1887.00","10.37","","","","","0.00","10.37",""
"금호프라자","상계로 5길 32","7/4","9993.4","2024","699.80","3.85","","","","","0.00","3.85",""
"큐비스트 빌딩","상계로 84","8/3","1999.39","2024","131.00","0.72","","","","","0.00","0.72",""
"와우패션클럽","노해로 507","8/7","23029","2024","936.90","5.15","","","","","0.00","5.15",""
